Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
Swami Dayanand College Scholarship for Delhi/NCR,10+2 passed students with minimum 85% marks,10+2/Intermediate,https://www.swamidayanand.org/india-scholarship-2023-24,Mail scholarships@swamidayanand.org or WhatsApp 8448770654,Open for all,Scholarship,Central, ,November to December
Prime Minister’s Scholarship Scheme for Central Armed Police Forces and Assam Rifles,Students willing to pursue a professional program in graduation or postgraduation,UG PG,www.scholarships.gov.in,,Open for all,Scholarship,Central, ,August to December
SOF Scholarship of Excellence in English (S.E.E),Students of class 1 to 10,Primary Junior 10/High_School,https://scholarshiparena.in/sof-scholarship-of-excellence-in-english/,,Open for all,Scholarship,Central, ,July to December
L&T Build India Scholarship,Students for final year BE/BTech degree in Civil/Electrical Engineering,Engineering,https://www.lntecc.com/build-india-scholarship/,,Open for all,Scholarship,Central, ,November to December
INSPIRE Scholarship For Higher Education (SHE),Class 12 passed students pursuing BSc/BS/MS/Int. MSc course,UG PG,https://online-inspire.gov.in/,,Open for all,Scholarship,Central, ,November to December
Siemens Scholarship Program,1st year govt. college B. Tech students,Engineering,https://www.siemens.com/in/en/company/sustainability/corporate-citizenship/siemens-scholarship-program.html,,50% scholarship is reserved for women,Scholarship,Central, ,June to August
Kishore Vaigyanik Protsahan Yojana (KVPY),Class 11 12 (PCM/B) BSc 1st year Int. MSc 1st year students,10+2/Intermediate UG PG,https://dst.gov.in/scientific-programmes/scientific-engineering-research/kishore-vaigyanik-protsahan-yojana-kvpy,,Open for all,Scholarship,Central, ,June to August
11th All India Maths Science (AIMS) Talent Examination,Students of class 1 to 10th,Primary Junior 10/High_School,https://www.aimstalent.com/schools.php,aimstalentinfo@gmail.com,Open for all,Scholarship,Central, ,July to August
Dhirubhai Ambani Scholarship Programme,10+2 passed students,10+2/Intermediate,,da.scholarship@reliancefoundation.org,Open for all,Scholarship,Central, ,June to August
National Scholarship Exam,School students of class 5 to 10 10+2 and diploma/degree students,Junior 10/High_School 10+2/Intermediate UG,https://www.niceedu.org/nse,,Open for all,Scholarship,Central, ,April to September
BTSE Bihar Talent Search Examination,Students of class 7th to 10th,Junior,https://resultfor.in/bihar-talent-search-scholarship/,,Open for all,Scholarship,Central, ,June to August
National Science Concours (NSC),Students of class 6th to 10th 10+1 and 10+2 ,Junior 10/High_School 10+2/Intermediate,https://www.indiaeducation.shiksha/education-funding/scholarships/national-science-concours.html,,Open for all,Scholarship,Central, ,July to November
J C Bose National Fellowship (Science & Engineering Research Board),"To be eligible for the J C Bose National Fellowship, candidates must hold a Ph.D. degree in science or engineering from a recognized university or institution. They should have a proven track record of outstanding research accomplishments, as evidenced by publications in high-impact journals, patents, and other forms of intellectual property.Citizens up to 68 years of age",Ph.D/Doctorate,https://www.serbonline.in/SERB/jcbose_fellowship,,Open for all,Fellowship,Central, ,Always Open
Nagaland State Merit Scholarship,10+2 to Post Graduate,10+2/Intermediate UG PG,https://www.scholarship.nagaland.gov.in/,,Open for all,Scholarship,Central, ,May to July
JM Sethia Merit Scholarship Scheme,Students enrolled in class 9 to 10 10+2 Graduation Postgraduation,Junior 10/High_School UG PG,https://www.theglobalscholarship.org/page/MSlQfTu2P1JvHYNYHm/jm-setia-scholarship,,Open for all,Scholarship,Central, ,May to July
JSPN Scholarship,10+1 to graduation,10+2/Intermediate UG PG,https://www.srijspn.org/,,Open for all,Scholarship,Central, ,May to July
SIA Youth Scholarship in Singapore,Class 10th passed students,10/High_School,https://www.moe.gov.sg/,,Open for all,Scholarship,Central, ,June to July
A-STAR India Youth Scholarship,Class 8th passed students,Junior,https://www.a-star.edu.sg/Scholarships/for-post-doctoral-studies/a-star-international-fellowship,,Open for all,Fellowship,Central, ,June to July
NBHM Scholarship for Post Graduate Studies in Mathematics,Graduates in Mathematics or students enrolled/pursuing PG in Mathematics,PG,https://www.nbhmexams.in/,,Open for all,Scholarship,Central, ,June to July
J N Tata Endowment Loan Scholarship,Graduates/final year undergraduates,UG,https://jntataendowment.org/,,Open for all,Scholarship,Central, ,December to March
G.P. Birla Education Foundation Scholarship,10+2 pass students from West Bengal,10+2/Intermediate,https://gpbirlaedufoundation.com/,,Open for all,Scholarship,Central, ,May to July
Bighelp National Merit Scholarship,Class 10th passed students,10/High_School,http://bighelp.org/bhp/site/scholarships,,Open for all,Scholarship,Central, ,April to June
RGIPT M. Tech Fellowship,B. Tech/BE,Engineering,https://www.rgipt.ac.in/en/article/scholarship,,Open for all,Scholarship,Central, ,March to June
KSCSTE Prathibha Scholarship Programme,10+2 passed students (Science),10+2/Intermediate,https://prathibha.kscste.kerala.gov.in/,,Open for all,Scholarship,Central, ,December to January
Abdul Kalam Technology Innovation National Fellowship,Professionals working in the Engineering profession in public-funded institutions,Ph.D/Doctorate,https://www.inae.in/research-innovation/abdul-kalam-technology-innovation-national-fellowship/,,Open for all,Fellowship,Central, ,April to August
Pre-Matric Scholarships Scheme for Minorities,Students of class 1st to 10th,Primary Junior 10/High_School,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=777&lid=825,,Minorities (Muslims Christians Sikhs Buddhists Jains and Parsis),Scholarship,Central, ,August to September
Post Matric Scholarships Scheme for Minorities,Students of Class 10+1 to PhD,10+2/Intermediate UG PG Ph.D/Doctorate,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&ls_id=670&lid=826,,Minorities (Muslims Christians Sikhs Buddhists Jains and Parsis),Scholarship,Central, ,August to September
HDFC Educational Crisis Scholarship,Students of class 6 to 10/ 10+2 / undergraduates/ postgraduates,Junior 10/High_School 10+2/Intermediate UG PG,https://www.hdfcbankecss.com/,,Open for all,Scholarship,Central, ,June to August
Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers – Pre-Matric,Students of class 1st to 10th,Primary Junior 10/High_School,https://nspscholarshipportal.in/nsp-financial-assistance/,,Wards of Beedi/Cine/IOMC/LSDM Workers,Scholarship,Central, ,August to October
Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers – Post-Matric,10+1 to post-graduation including diploma,10+2/Intermediate UG PG,https://nspscholarshipportal.in/nsp-financial-assistance/,,Wards of Beedi/Cine/IOMC/LSDM Workers,Scholarship,Central, ,August to October
